,date,Malicious_IP,customers,mitigation
127,2025-08-29 10:33:49,95.100.173.67,Customer_10,mitigation_2929
128,2025-08-29 10:20:24,95.100.174.66,Customer_10,mitigation_2929
129,2025-08-29 10:40:14,138.94.232.226,Customer_10,mitigation_2929
130,2025-08-29 10:15:06,184.85.248.65,Customer_10,mitigation_2929
131,2025-08-29 10:20:48,193.108.91.254,Customer_10,mitigation_2929
132,2025-08-29 11:27:35,2.16.130.65,Customer_10,mitigation_2931
133,2025-08-29 11:15:56,23.61.199.64,Customer_10,mitigation_2931
134,2025-08-29 11:25:53,95.100.173.67,Customer_10,mitigation_2931
135,2025-08-29 11:21:39,95.100.174.66,Customer_10,mitigation_2931
136,2025-08-29 11:14:11,184.85.248.65,Customer_10,mitigation_2931
137,2025-08-29 11:28:09,193.108.91.254,Customer_10,mitigation_2931
138,2025-09-01 09:37:40,117.24.217.231,Customer_10,mitigation_2969
139,2025-09-02 09:49:07,103.115.164.90,Customer_10,mitigation_2981
140,2025-09-02 14:42:10,119.99.239.237,Customer_10,mitigation_2993
141,2025-09-02 15:41:11,222.182.123.82,Customer_10,mitigation_2994
142,2025-09-03 03:39:46,222.182.123.82,Customer_10,mitigation_3000
143,2025-09-03 05:31:49,47.250.138.220,Customer_10,mitigation_3001
144,2025-09-03 08:31:00,52.208.98.246,Customer_10,mitigation_3001
145,2025-09-03 09:12:10,60.162.84.231,Customer_10,mitigation_3001
146,2025-09-03 06:01:39,64.62.197.202,Customer_10,mitigation_3001
147,2025-09-03 06:56:40,183.23.135.58,Customer_10,mitigation_3001
148,2025-09-03 07:05:35,104.195.12.36,Customer_10,mitigation_3007
149,2025-09-03 07:36:57,64.62.156.154,Customer_10,mitigation_3008
150,2025-09-03 08:02:41,116.210.24.168,Customer_10,mitigation_3010
151,2025-09-03 09:18:46,42.83.147.35,Customer_10,mitigation_3013
152,2025-09-03 12:53:17,183.94.33.15,Customer_10,mitigation_3020
153,2025-09-08 04:44:03,2.16.130.65,Customer_10,mitigation_3078
154,2025-09-08 04:48:34,23.61.199.64,Customer_10,mitigation_3078
